iter	Passed	Remaining
0	168	168103
1	173	86414
2	178	59239
3	182	45407
4	186	37139
5	191	31664
6	195	27710
7	199	24723
8	203	22377
9	207	20496
10	210	18955
11	214	17669
12	218	16582
13	222	15642
14	225	14821
15	229	14122
16	233	13508
17	237	12959
18	241	12469
19	245	12029
20	249	11627
21	253	11256
22	257	10921
23	261	10618
24	264	10330
25	268	10061
26	272	9809
27	276	9581
28	279	9358
29	282	9148
30	286	8951
31	289	8769
32	293	8595
33	296	8430
34	300	8275
35	303	8130
36	307	7994
37	310	7865
38	314	7741
39	317	7621
40	320	7507
41	324	7398
42	327	7294
43	331	7195
44	334	7103
45	338	7012
46	341	6922
47	344	6837
48	348	6755
49	351	6679
50	354	6604
51	358	6531
52	361	6462
53	365	6406
54	369	6342
55	372	6284
56	376	6228
57	380	6178
58	384	6131
59	388	6082
60	392	6040
61	396	5992
62	399	5943
63	403	5896
64	406	5847
65	410	5803
66	413	5758
67	417	5715
68	420	5673
69	424	5633
70	427	5591
71	430	5549
72	433	5508
73	437	5468
74	440	5429
75	443	5392
76	446	5356
77	449	5318
78	453	5281
79	456	5248
80	459	5215
81	462	5183
82	466	5151
83	469	5118
84	472	5087
85	475	5056
86	478	5026
87	482	4995
88	485	4968
89	488	4938
90	491	4912
91	494	4884
92	498	4858
93	501	4833
94	504	4809
95	508	4783
96	511	4758
97	514	4737
98	518	4715
99	521	4692
100	524	4669
101	527	4647
102	531	4626
103	534	4601
104	537	4580
105	540	4558
106	543	4538
107	546	4517
108	550	4496
109	553	4476
110	556	4455
111	559	4436
112	564	4430
113	568	4415
114	571	4401
115	575	4387
116	579	4374
117	584	4366
118	588	4356
119	592	4344
120	595	4329
121	599	4317
122	603	4305
123	607	4293
124	611	4281
125	615	4270
126	619	4255
127	622	4239
128	625	4224
129	628	4208
130	631	4192
131	635	4176
132	638	4160
133	642	4149
134	645	4134
135	648	4120
136	651	4106
137	655	4091
138	658	4077
139	661	4063
140	664	4051
141	668	4040
142	672	4028
143	675	4015
144	679	4005
145	682	3992
146	685	3979
147	688	3966
148	692	3955
149	695	3942
150	699	3930
151	702	3918
152	705	3905
153	708	3893
154	711	3881
155	715	3870
156	718	3857
157	721	3846
158	725	3835
159	728	3824
160	731	3812
161	734	3800
162	737	3789
163	741	3777
164	744	3766
165	747	3755
166	750	3743
167	755	3742
168	760	3739
169	763	3728
170	767	3722
171	771	3715
172	775	3707
173	779	3701
174	783	3693
175	786	3684
176	790	3675
177	793	3666
178	797	3655
179	800	3645
180	803	3635
181	806	3626
182	809	3616
183	813	3606
184	816	3596
185	819	3585
186	822	3576
187	825	3567
188	829	3557
189	832	3547
190	835	3537
191	838	3529
192	841	3520
193	845	3511
194	847	3498
195	850	3489
196	853	3480
197	857	3471
198	860	3462
199	863	3453
200	866	3444
201	868	3432
202	872	3423
203	875	3415
204	878	3407
205	881	3399
206	885	3390
207	888	3382
208	891	3374
209	894	3365
210	897	3357
211	901	3349
212	904	3341
213	907	3333
214	910	3324
215	913	3316
216	916	3308
217	919	3299
218	923	3291
219	926	3283
220	929	3276
221	932	3269
222	935	3261
223	939	3253
224	942	3245
225	945	3238
226	948	3231
227	952	3223
228	955	3216
229	959	3211
230	962	3205
231	966	3199
232	970	3194
233	974	3189
234	977	3182
235	980	3175
236	984	3168
237	987	3160
238	990	3153
239	993	3146
240	996	3139
241	1000	3132
242	1003	3126
243	1006	3119
244	1009	3112
245	1013	3105
246	1016	3099
247	1019	3092
248	1023	3086
249	1026	3079
250	1029	3072
251	1032	3066
252	1036	3059
253	1039	3051
254	1042	3045
255	1045	3039
256	1048	3032
257	1052	3025
258	1055	3019
259	1058	3012
260	1061	3005
261	1064	2999
262	1068	2993
263	1071	2986
264	1074	2979
265	1076	2971
266	1080	2965
267	1083	2958
268	1086	2952
269	1089	2945
270	1092	2938
271	1095	2932
272	1098	2926
273	1101	2919
274	1105	2913
275	1108	2907
276	1111	2901
277	1114	2895
278	1118	2890
279	1121	2884
280	1125	2879
281	1128	2873
282	1132	2868
283	1135	2863
284	1139	2857
285	1142	2852
286	1145	2846
287	1149	2841
288	1152	2835
289	1155	2830
290	1159	2824
291	1162	2819
292	1167	2817
293	1172	2814
294	1176	2811
295	1180	2808
296	1184	2804
297	1188	2799
298	1192	2795
299	1195	2789
300	1198	2784
301	1202	2778
302	1205	2773
303	1208	2767
304	1211	2761
305	1215	2756
306	1218	2750
307	1223	2749
308	1227	2744
309	1230	2739
310	1234	2734
311	1237	2729
312	1240	2723
313	1244	2718
314	1247	2712
315	1250	2707
316	1254	2702
317	1257	2696
318	1260	2691
319	1264	2686
320	1267	2681
321	1270	2675
322	1274	2670
323	1276	2664
324	1280	2658
325	1283	2653
326	1286	2647
327	1289	2642
328	1293	2637
329	1296	2632
330	1299	2627
331	1303	2621
332	1306	2616
333	1309	2611
334	1313	2606
335	1316	2600
336	1319	2595
337	1322	2590
338	1325	2585
339	1329	2579
340	1332	2574
341	1335	2569
342	1338	2563
343	1341	2558
344	1345	2553
345	1348	2548
346	1351	2543
347	1355	2538
348	1358	2534
349	1361	2528
350	1365	2524
351	1368	2518
352	1371	2514
353	1375	2509
354	1378	2505
355	1381	2499
356	1384	2494
357	1388	2489
358	1391	2484
359	1394	2479
360	1397	2474
361	1401	2469
362	1404	2464
363	1407	2459
364	1411	2455
365	1414	2450
366	1417	2445
367	1420	2440
368	1423	2435
369	1427	2430
370	1430	2425
371	1433	2420
372	1437	2415
373	1440	2411
374	1444	2406
375	1447	2401
376	1450	2396
377	1453	2391
378	1457	2387
379	1460	2382
380	1463	2377
381	1466	2372
382	1470	2368
383	1473	2363
384	1476	2358
385	1479	2354
386	1483	2349
387	1486	2344
388	1489	2339
389	1492	2334
390	1495	2329
391	1499	2324
392	1502	2320
393	1505	2315
394	1508	2310
395	1511	2306
396	1515	2301
397	1518	2297
398	1521	2292
399	1525	2287
400	1528	2282
401	1531	2278
402	1534	2273
403	1537	2268
404	1541	2264
405	1544	2259
406	1547	2254
407	1550	2250
408	1553	2245
409	1557	2240
410	1560	2236
411	1564	2233
412	1568	2229
413	1571	2224
414	1574	2220
415	1578	2215
416	1581	2210
417	1584	2206
418	1587	2201
419	1590	2196
420	1594	2192
421	1597	2187
422	1600	2183
423	1603	2178
424	1606	2174
425	1610	2169
426	1613	2165
427	1617	2161
428	1620	2156
429	1623	2152
430	1627	2148
431	1630	2144
432	1634	2140
433	1637	2135
434	1641	2131
435	1644	2126
436	1648	2123
437	1651	2119
438	1654	2114
439	1658	2110
440	1661	2105
441	1664	2101
442	1668	2097
443	1671	2093
444	1674	2088
445	1678	2084
446	1681	2080
447	1685	2076
448	1688	2072
449	1692	2068
450	1695	2063
451	1699	2059
452	1702	2055
453	1706	2051
454	1709	2047
455	1713	2043
456	1716	2038
457	1719	2034
458	1722	2030
459	1726	2026
460	1729	2022
461	1732	2017
462	1736	2013
463	1739	2009
464	1742	2004
465	1745	2000
466	1749	1996
467	1752	1992
468	1756	1988
469	1759	1984
470	1763	1980
471	1766	1975
472	1769	1971
473	1772	1967
474	1776	1963
475	1779	1959
476	1783	1955
477	1786	1951
478	1789	1946
479	1793	1942
480	1796	1938
481	1800	1934
482	1803	1930
483	1806	1925
484	1809	1921
485	1813	1917
486	1816	1913
487	1819	1909
488	1822	1904
489	1826	1900
490	1829	1896
491	1832	1892
492	1835	1887
493	1838	1883
494	1841	1879
495	1845	1875
496	1848	1870
497	1851	1866
498	1854	1862
499	1858	1858
500	1861	1853
501	1864	1849
502	1867	1845
503	1871	1841
504	1874	1837
505	1877	1832
506	1880	1828
507	1883	1824
508	1886	1820
509	1889	1815
510	1892	1811
511	1895	1807
512	1899	1803
513	1902	1798
514	1905	1794
515	1909	1790
516	1912	1786
517	1915	1782
518	1918	1778
519	1922	1774
520	1925	1770
521	1928	1766
522	1931	1761
523	1934	1757
524	1938	1753
525	1941	1749
526	1945	1745
527	1948	1741
528	1952	1738
529	1954	1733
530	1958	1729
531	1961	1725
532	1964	1721
533	1968	1717
534	1971	1713
535	1974	1709
536	1978	1705
537	1980	1701
538	1984	1697
539	1987	1693
540	1991	1689
541	1994	1685
542	1997	1681
543	2000	1677
544	2004	1673
545	2007	1669
546	2011	1665
547	2014	1661
548	2018	1658
549	2021	1654
550	2025	1650
551	2029	1646
552	2032	1642
553	2035	1638
554	2039	1635
555	2042	1630
556	2045	1626
